Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2001,2001,%,49.4,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2002,2002,%,49.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2003,2003,%,48.8,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2004,2004,%,48.5,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2005,2005,%,48.2,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2006,2006,%,47.8,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2007,2007,%,47.3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2008,2008,%,46.6,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2009,2009,%,45.7,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2010,2010,%,44.5,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2011,2011,%,43.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2012,2012,%,41.7,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,%,40.3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2014,2014,%,38.9,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,2015,%,37.5,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,2016,%,36.2,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,2017,%,34.8,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,2018,%,33.5,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,2019,%,32.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,2020,%,30.9,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2000,2000,%,3.3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2001,2001,%,3.3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2002,2002,%,3.3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2003,2003,%,3.2,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2004,2004,%,3.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2005,2005,%,3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2006,2006,%,3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2007,2007,%,2.9,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2008,2008,%,2.8,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2009,2009,%,2.7,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2010,2010,%,2.6,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2011,2011,%,2.5,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2012,2012,%,2.4,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2013,2013,%,2.3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2014,2014,%,2.2,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2015,2015,%,2.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2016,2016,%,2.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2017,2017,%,2,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2018,2018,%,2,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2019,2019,%,1.9,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2020,2020,%,1.9,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2000,2000,%,1.6,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2001,2001,%,1.7,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2002,2002,%,1.8,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2003,2003,%,1.9,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2004,2004,%,2,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2005,2005,%,2.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2006,2006,%,2.3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2007,2007,%,2.4,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2008,2008,%,2.5,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2009,2009,%,2.7,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2010,2010,%,2.8,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2011,2011,%,3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2012,2012,%,3.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2013,2013,%,3.3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2014,2014,%,3.5,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2015,2015,%,3.7,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2016,2016,%,3.9,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2000,2000,%,54.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2001,2001,%,54,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2002,2002,%,54,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2003,2003,%,54.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2004,2004,%,54.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2005,2005,%,54.2,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2006,2006,%,54.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2007,2007,%,54.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2008,2008,%,54,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2009,2009,%,53.7,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2010,2010,%,53.5,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2011,2011,%,53.4,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2012,2012,%,53.2,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2013,2013,%,53,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2014,2014,%,52.9,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2015,2015,%,52.7,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2016,2016,%,52.6,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2017,2017,%,52.8,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2018,2018,%,52.9,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21043,Prevalence of anemia among women of reproductive age (15-49 years),2019,2019,%,53,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20002002,2000-2002,%,32.2,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20012003,2001-2003,%,33.6,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20022004,2002-2004,%,34.9,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20032005,2003-2005,%,32.1,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20042006,2004-2006,%,28.5,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20052007,2005-2007,%,26.1,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20062008,2006-2008,%,26.9,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20072009,2007-2009,%,26.6,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20082010,2008-2010,%,24.1,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20092011,2009-2011,%,24.2,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20102012,2010-2012,%,23.9,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20112013,2011-2013,%,24.9,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20122014,2012-2014,%,22.1,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20132015,2013-2015,%,20.9,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20142016,2014-2016,%,21.5,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20152017,2015-2017,%,23.2,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20162018,2016-2018,%,24.6,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20172019,2017-2019,%,24.4,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20182020,2018-2020,%,24.8,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20142016,2014-2016,%,53,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20152017,2015-2017,%,56.6,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20162018,2016-2018,%,60.4,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20172019,2017-2019,%,64.3,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20182020,2018-2020,%,68.5,F,FAO estimate,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2000,2000,%,7.4,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2003,2003,%,6.2,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2005,2005,%,6.9,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2008,2008,%,6.9,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2011,2011,%,6.3,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2014,2014,%,4.2,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2000,2000,%,38.9,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2001,2001,%,38.7,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2002,2002,%,38.4,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2003,2003,%,38,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2004,2004,%,37.5,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2005,2005,%,36.8,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2006,2006,%,36,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2007,2007,%,34.9,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2008,2008,%,33.6,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2009,2009,%,32.2,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2010,2010,%,30.7,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2011,2011,%,29.2,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2012,2012,%,27.8,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,%,26.5,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2014,2014,%,25.4,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,2015,%,24.3,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,2016,%,23.4,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,2017,%,22.5,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,2018,%,21.5,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,2019,%,20.4,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,2020,%,19.4,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2000,2000,%,6.8,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2001,2001,%,7,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2002,2002,%,7.2,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2003,2003,%,7.1,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2004,2004,%,7,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2005,2005,%,6.7,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2006,2006,%,6.4,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2007,2007,%,6,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2008,2008,%,5.6,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2009,2009,%,5.3,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2010,2010,%,5,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2011,2011,%,4.8,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2012,2012,%,4.6,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2013,2013,%,4.5,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2014,2014,%,4.3,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2015,2015,%,4.3,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2016,2016,%,4.3,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2017,2017,%,4.3,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2018,2018,%,4.3,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2019,2019,%,4.4,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21041,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2020,2020,%,4.5,X,International reliable sources,
FS,Suite of Food Security Indicators,114,Kenya,6121,Value,21042,Prevalence of obesity in the adult population (18 years and older),2000,2000,%,3.2,X,International reliable sources,
